,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
5346,Address: 45 Dolores Terrace, San FranciscoSales price: 905000Sales date: 01/30/2015Bedrooms: 1Square feet: 760Lot size: 1600,45 Dolores Ter,1.0,1.0,760.0,01/30/2015,905000.0,37.762554,-122.425445,Mission,3.0,Condominium,1939.0,870565.0,"1,167,700",94110.0,89239280.0
5348,Address: 5853 Mission Street #4, San FranciscoSales price: 350000Sales date: 01/30/2015Bedrooms: 1Square feet: 780Lot size: 9825,5853 Mission St APT 4,1.0,2.0,780.0,01/30/2015,350000.0,37.70881,-122.451423,Crocker Amazon,5.0,Condominium,1980.0,560744.0,"817,600",94112.0,15178879.0
5349,Address: 542 Munich Street, San FranciscoSales price: 540000Sales date: 01/30/2015Bedrooms: 1Square feet: 756Lot size: 2600,542 Munich St,1.0,2.0,1000.0,01/30/2015,540000.0,37.717199,-122.429951,Excelsior,5.0,SingleFamily,1900.0,593247.0,"757,400",94112.0,15174917.0
5350,Address: 157 Thrift Street, San FranciscoSales price: 730000Sales date: 01/30/2015Bedrooms: 3Square feet: 1124Lot size: 3123,157 Thrift St,2.0,3.0,1124.0,01/30/2015,730000.0,37.717215,-122.457884,Oceanview,5.0,SingleFamily,1964.0,703895.0,"752,700",94112.0,15192411.0
5354,Address: 95 Bridgeview Drive, San FranciscoSales price: 681000Sales date: 01/30/2015Bedrooms: 0Square feet: 1306Lot size: 2909,95 Bridgeview Dr,2.0,3.0,1300.0,01/30/2015,681000.0,37.734681,-122.395635,Silver Terrace,6.0,SingleFamily,1945.0,829452.0,"720,300",94124.0,15157073.0
5355,Address: 3981 Alemany Boulevard #203, San FranciscoSales price: 479500Sales date: 01/30/2015Bedrooms: 1Square feet: 670Lot size: 325629,3981 Alemany Blvd APT 203,1.0,1.0,670.0,01/30/2015,479500.0,37.71048,-122.467645,Ingleside Heights,3.0,Condominium,2002.0,561102.0,"688,100",94132.0,67395118.0
5368,Address: 1645 Pacific Avenue #3A, San FranciscoSales price: 315500Sales date: 01/30/2015Bedrooms: 0Square feet: 0Lot size: 0,1645 Pacific Ave APT 3A,2.0,2.0,1003.0,01/30/2015,315500.0,37.794658,-122.422325,Nob Hill,5.0,Condominium,2014.0,1354087.0,"1,440,700",94109.0,123175002.0
5374,Address: 1501 Filbert Street #5C, San FranciscoSales price: 1600000Sales date: 01/30/2015Bedrooms: 0Square feet: 0Lot size: 0,1501 Filbert St APT 5C,2.0,2.0,1130.0,01/30/2015,1600000.0,37.799205,-122.424522,Cow Hollow,5.0,Condominium,2014.0,1729335.0,"2,134,300",94123.0,124397816.0
5375,Address: 60 Turquoise Way, San FranciscoSales price: 1100000Sales date: 01/30/2015Bedrooms: 0Square feet: 1689Lot size: 5022,60 Turquoise Way,2.0,3.0,1689.0,01/30/2015,1100000.0,37.743988,-122.445854,Diamond Heights,6.0,SingleFamily,1964.0,1080551.0,"1,070,100",94131.0,15198697.0
5376,Address: 1170 Sacramento Street #11A, San FranciscoSales price: 2600000Sales date: 01/29/2015Bedrooms: 0Square feet: 2027Lot size: 14529,1170 Sacramento St APT 11A,2.0,2.0,2027.0,01/29/2015,2600000.0,37.79293,-122.412195,Nob Hill,4.0,Condominium,1963.0,3153386.0,"1,440,700",94108.0,15068046.0
5379,Address: 39 Samoset Street, San FranciscoSales price: 1850000Sales date: 01/29/2015Bedrooms: 0Square feet: 1430Lot size: 1746,39 Samoset St,2.0,3.0,1771.0,01/29/2015,1850000.0,37.744422,-122.408484,Bernal Heights,7.0,SingleFamily,1949.0,2052936.0,"1,214,400",94110.0,15160789.0
5380,Address: 171 Ripley Street, San FranciscoSales price: 3000000Sales date: 01/29/2015Bedrooms: 2Square feet: 2213Lot size: 2800,171 Ripley St,3.0,2.0,2213.0,01/29/2015,3000000.0,37.744493,-122.411244,Bernal Heights,6.0,SingleFamily,2002.0,3287367.0,"1,214,400",94110.0,15160651.0
5381,Address: 1019 Russia Avenue, San FranciscoSales price: 685000Sales date: 01/29/2015Bedrooms: 0Square feet: 1125Lot size: 2500,1019 Russia Ave,1.0,2.0,1125.0,01/29/2015,685000.0,37.717777,-122.428666,Excelsior,5.0,SingleFamily,1927.0,728767.0,"757,400",94112.0,15171432.0
5382,Address: 138 Shakespeare Street, San FranciscoSales price: 742000Sales date: 01/29/2015Bedrooms: 4Square feet: 1660Lot size: 2500,138 Shakespeare St,2.0,4.0,1660.0,01/29/2015,742000.0,37.708725,-122.462966,Outer Mission,10.0,SingleFamily,1924.0,897996.0,"804,400",94112.0,15196203.0
5384,Address: 77 Buena Vista Terrace, San FranciscoSales price: 1255000Sales date: 01/29/2015Bedrooms: 3Square feet: 1583Lot size: 2808,77 Buena Vista Ter,2.0,3.0,1583.0,01/29/2015,1255000.0,37.767648,-122.437938,Buena Vista Park,6.0,Condominium,1962.0,1673991.0,"1,470,700",94117.0,63197039.0
5386,Address: 705 Noriega Street, San FranciscoSales price: 2018000Sales date: 01/29/2015Bedrooms: 4Square feet: 1894Lot size: 3144,705 Noriega St,4.5,4.0,2266.0,01/29/2015,2018000.0,37.755163,-122.47159,Golden Gate Heights,7.0,SingleFamily,1962.0,1960022.0,"1,449,000",94122.0,15111447.0
5387,Address: 8200 Oceanview Terrace #420, San FranciscoSales price: 558000Sales date: 01/29/2015Bedrooms: 2Square feet: 948Lot size: 325629,8200 Oceanview Ter APT 420,2.0,2.0,948.0,01/29/2015,558000.0,37.71048,-122.467645,Ingleside Heights,4.0,Condominium,2003.0,618979.0,"688,100",94132.0,67394668.0
5388,Address: 1515 15th Street #401, San FranciscoSales price: 221500Sales date: 01/28/2015Bedrooms: 0Square feet: 0Lot size: 0,1515 15th St APT 301,1.0,1.0,383.0,08/05/2014,450000.0,37.766736,-122.417984,Mission,2.0,Condominium,2014.0,589265.0,"1,167,700",94103.0,125244450.0
5390,Address: 71 Peralta Avenue, San FranciscoSales price: 1115000Sales date: 01/28/2015Bedrooms: 3Square feet: 1507Lot size: 1788,71 Peralta Ave,2.0,2.0,1507.0,02/06/2015,1115000.0,37.747599,-122.406363,Bernal Heights,7.0,SingleFamily,1906.0,1547143.0,"1,214,400",94110.0,15160380.0
5391,Address: 1600 Webster Street #205, San FranciscoSales price: 257000Sales date: 01/28/2015Bedrooms: 1Square feet: 837Lot size: 18978,1600 Webster St APT 205,1.0,1.0,837.0,01/28/2015,257000.0,37.78568,-122.430955,Lower Pacific Heights,4.0,Condominium,2005.0,830483.0,"1,146,900",94115.0,64971368.0
5392,Address: 2785 Jackson Street #4, San FranciscoSales price: 2250000Sales date: 01/28/2015Bedrooms: 3Square feet: 1901Lot size: 5490,2785 Jackson St APT 4,3.0,3.0,1901.0,01/28/2015,2250000.0,37.791512,-122.440793,Pacific Heights,7.0,Condominium,1927.0,2626745.0,"1,884,400",94115.0,15081228.0
5393,Address: 2631 20th Avenue, San FranciscoSales price: 690000Sales date: 01/28/2015Bedrooms: 3Square feet: 1494Lot size: 3000,2631 20th Ave,3.0,3.0,1494.0,01/28/2015,690000.0,37.738639,-122.476786,Parkside,7.0,SingleFamily,1926.0,1012744.0,"1,094,000",94116.0,15125369.0
5394,Address: 351 Buena Vista Avenue E #501, San FranciscoSales price: 744000Sales date: 01/28/2015Bedrooms: 1Square feet: 725Lot size: 13515,351 Buena Vista Ave E UNIT 501,1.0,1.0,725.0,01/28/2015,744000.0,37.766872,-122.43959,Buena Vista Park,3.0,Condominium,1987.0,826981.0,"1,470,700",94117.0,15126824.0
5396,Address: 2067 Quesada Avenue, San FranciscoSales price: 920000Sales date: 01/28/2015Bedrooms: 0Square feet: 875Lot size: 2495,2067 Quesada Ave,1.0,3.0,875.0,01/28/2015,920000.0,37.737036,-122.398505,Silver Terrace,5.0,SingleFamily,1910.0,671257.0,"720,300",94124.0,15156807.0
5397,Address: 916 Rockdale Drive, San FranciscoSales price: 1100000Sales date: 01/28/2015Bedrooms: 3Square feet: 1650Lot size: 3524,916 Rockdale Dr,1.0,3.0,1600.0,01/28/2015,1100000.0,37.74115,-122.454699,Miraloma Park,7.0,SingleFamily,1930.0,1101200.0,"1,227,600",94127.0,15135154.0
5400,Address: 30 Bernice Street, San FranciscoSales price: 1350000Sales date: 01/27/2015Bedrooms: 2Square feet: 926Lot size: 1851,30 Bernice St,2.5,4.0,2000.0,01/27/2015,1350000.0,37.769891,-122.414215,South of Market,6.0,SingleFamily,1911.0,1831154.0,"957,300",94103.0,15142623.0
5407,Address: 85 Sycamore Street #1, San FranciscoSales price: 1799000Sales date: 01/27/2015Bedrooms: 3Square feet: 1832Lot size: 2789,85 Sycamore St # 1,3.0,4.0,1832.0,01/27/2015,1799000.0,37.762514,-122.421105,Mission,7.0,Condominium,2002.0,1360314.0,"1,167,700",94110.0,61287355.0
5408,Address: 168 Precita Avenue, San FranciscoSales price: 1900000Sales date: 01/27/2015Bedrooms: 4Square feet: 1700Lot size: 3120,168 Precita Ave,2.0,4.0,1700.0,01/27/2015,1900000.0,37.747059,-122.416617,Bernal Heights,8.0,Duplex,1904.0,1311027.0,"1,214,400",94110.0,15159893.0
5410,Address: 98 Seward Street, San FranciscoSales price: 2455000Sales date: 01/27/2015Bedrooms: 0Square feet: 2000Lot size: 2256,98 Seward St,1.5,3.0,2670.0,01/27/2015,2455000.0,37.758912,-122.440474,Eureka Valley - Dolores Heights - Castro,7.0,SingleFamily,1928.0,3136995.0,"1,718,500",94114.0,15129560.0
5412,Address: 3425 Divisadero Street, San FranciscoSales price: 2460000Sales date: 01/27/2015Bedrooms: 3Square feet: 2128Lot size: 2350,3425 Divisadero St,2.0,3.0,2128.0,01/27/2015,2460000.0,37.801198,-122.443403,Marina,6.0,Condominium,2008.0,2370634.0,"2,157,700",94123.0,15080013.0
5413,Address: 636 Vermont Street, San FranciscoSales price: 1620000Sales date: 01/26/2015Bedrooms: 0Square feet: 2723Lot size: 2495,636 Vermont St,3.0,3.0,2723.0,01/26/2015,1620000.0,37.761556,-122.404515,Potrero Hill,7.0,SingleFamily,1926.0,1762518.0,"1,264,000",94107.0,15149278.0
5415,Address: 1676 York Street, San FranciscoSales price: 1175000Sales date: 01/26/2015Bedrooms: 2Square feet: 825Lot size: 1750,1676 York St,1.5,2.0,825.0,01/26/2015,1175000.0,37.746629,-122.405838,Bernal Heights,5.0,SingleFamily,1940.0,1308883.0,"1,214,400",94110.0,15160424.0
5417,Address: 1131 Shrader Street, San FranciscoSales price: 1400000Sales date: 01/26/2015Bedrooms: 0Square feet: 1564Lot size: 2500,1131 Shrader St,1.0,2.0,1564.0,01/26/2015,1400000.0,37.764192,-122.451392,Parnassus - Ashbury,5.0,Condominium,1923.0,1626096.0,"2,111,800",94117.0,79841892.0
5418,Address: 258 29th Avenue, San FranciscoSales price: 2700000Sales date: 01/26/2015Bedrooms: 4Square feet: 2640Lot size: 3000,258 29th Ave,2.0,4.0,2640.0,01/26/2015,2700000.0,37.784467,-122.489016,Sea Cliff,8.0,SingleFamily,1919.0,2901681.0,"4,400,200",94121.0,15090525.0
5421,Address: 260 King Street #621, San FranciscoSales price: 605000Sales date: 01/23/2015Bedrooms: 1Square feet: 695Lot size: 213232,260 King St UNIT 621,1.0,1.0,695.0,01/23/2015,605000.0,37.777641,-122.393417,South of Market,3.0,Condominium,2004.0,720742.0,"957,300",94107.0,69819750.0
5424,Address: 555 4th Street #623, San FranciscoSales price: 1100000Sales date: 01/23/2015Bedrooms: 2Square feet: 979Lot size: 63237,555 4th St UNIT 623,2.0,2.0,979.0,01/23/2015,1100000.0,37.779422,-122.396712,South of Market,5.0,Condominium,2006.0,1171242.0,"957,300",94107.0,79846812.0
5427,Address: 75 Valdez Avenue, San FranciscoSales price: 1420000Sales date: 01/23/2015Bedrooms: 3Square feet: 1366Lot size: 3659,75 Valdez Ave,3.0,1.0,6000.0,01/23/2015,1420000.0,37.729711,-122.455105,Westwood Park,10.0,Condominium,1922.0,2517516.0,"1,191,600",94112.0,15139579.0
5429,Address: 2919 Pacific Avenue #9, San FranciscoSales price: 1465000Sales date: 01/23/2015Bedrooms: 2Square feet: 1125Lot size: 6851,2919 Pacific Ave APT 9,1.0,2.0,1125.0,01/23/2015,1465000.0,37.79197,-122.44344,Pacific Heights,4.0,Condominium,1905.0,1430479.0,"1,884,400",94115.0,15081129.0
5431,Address: 1563 Quesada Avenue, San FranciscoSales price: 650000Sales date: 01/23/2015Bedrooms: 0Square feet: 1196Lot size: 3123,1563 Quesada Ave,1.0,2.0,1196.0,01/23/2015,650000.0,37.731682,-122.389067,Bayview,6.0,SingleFamily,1910.0,641066.0,"719,000",94124.0,15157181.0
5432,Address: 8 Keystone Way #2A, San FranciscoSales price: 496000Sales date: 01/23/2015Bedrooms: 2Square feet: 744Lot size: 6150,8 Keystone Way APT 2A,1.0,2.0,744.0,01/23/2015,496000.0,37.72565,-122.462525,Mount Davidson Manor,4.0,Condominium,1985.0,585810.0,"1,370,500",94127.0,15142202.0
5433,Address: 604 Teresita Boulevard, San FranciscoSales price: 955000Sales date: 01/23/2015Bedrooms: 3Square feet: 1842Lot size: 2962,604 Teresita Blvd,2.0,3.0,1842.0,01/23/2015,955000.0,37.737361,-122.446767,Miraloma Park,8.0,SingleFamily,1940.0,1361323.0,"1,227,600",94127.0,15136061.0
5434,Address: 944 Rockdale Drive, San FranciscoSales price: 1350000Sales date: 01/23/2015Bedrooms: 3Square feet: 1850Lot size: 3110,944 Rockdale Dr,2.5,4.0,1850.0,01/23/2015,1350000.0,37.740859,-122.455165,Miraloma Park,6.0,SingleFamily,1967.0,1381981.0,"1,227,600",94127.0,15135159.0
5435,Address: 414 Head Street, San FranciscoSales price: 728000Sales date: 01/23/2015Bedrooms: 4Square feet: 1637Lot size: 2495,414 Head St,2.0,5.0,1637.0,01/23/2015,728000.0,37.714646,-122.464128,Ingleside Heights,7.0,SingleFamily,1946.0,831649.0,"688,100",94132.0,15193741.0
5439,Address: 333 1st Street #1507, San FranciscoSales price: 1199000Sales date: 01/22/2015Bedrooms: 2Square feet: 950Lot size: 38571,333 1st St UNIT 1507,2.0,2.0,950.0,01/22/2015,1199000.0,37.787029,-122.3936,South Beach,4.0,Condominium,2004.0,1249361.0,"1,269,100",94105.0,64972544.0
5442,Address: 250 King Street #760, San FranciscoSales price: 734500Sales date: 01/22/2015Bedrooms: 1Square feet: 909Lot size: 213232,250 King St UNIT 760,1.0,1.0,909.0,01/22/2015,734500.0,37.777645,-122.39343,South of Market,3.0,Condominium,2004.0,855117.0,"957,300",94107.0,69819543.0
5443,Address: 88 King Street #1218, San FranciscoSales price: 1688000Sales date: 01/22/2015Bedrooms: 2Square feet: 1090Lot size: 82157,88 King St UNIT 1218,2.0,2.0,1090.0,01/22/2015,1688000.0,37.780117,-122.389648,South Beach,4.0,Condominium,2000.0,1378211.0,"1,269,100",94107.0,80750967.0
5447,Address: 1330 Hampshire Street, San FranciscoSales price: 1200000Sales date: 01/22/2015Bedrooms: 3Square feet: 1420Lot size: 2495,1330 Hampshire St,2.0,3.0,1420.0,01/22/2015,1200000.0,37.750857,-122.407374,Mission,7.0,SingleFamily,1914.0,1338953.0,"1,167,700",94110.0,15152651.0
5448,Address: 195 Clearfield Drive, San FranciscoSales price: 1350000Sales date: 01/22/2015Bedrooms: 3Square feet: 1890Lot size: 3135,195 Clearfield Dr,2.5,3.0,1890.0,12/01/2015,675000.0,37.729773,-122.491161,Lakeshore,7.0,SingleFamily,1957.0,1433090.0,"1,237,900",94132.0,15197823.0
5449,Address: 3256 16th Street #3, San FranciscoSales price: 210000Sales date: 01/21/2015Bedrooms: 1Square feet: 753Lot size: 3635,3256 16th St APT 3,1.0,1.0,753.0,01/21/2015,209888.0,37.764979,-122.425445,Mission,3.0,Condominium,1983.0,687173.0,"1,167,700",94103.0,15143319.0
5457,Address: 2388 Bryant Street, San FranciscoSales price: 1480000Sales date: 01/21/2015Bedrooms: 0Square feet: 2000Lot size: 1000,2388-2390 Bryant St,3.0,5.0,2000.0,01/21/2015,1480000.0,37.756209,-122.409695,Mission,9.0,MultiFamily2To4,1902.0,1138032.0,"1,167,700",94110.0,15151139.0
5458,Address: 77 Grand View Avenue #203, San FranciscoSales price: 630000Sales date: 01/21/2015Bedrooms: 0Square feet: 900Lot size: 13673,77 Grand View Ave APT 203,1.0,1.0,900.0,01/21/2015,630000.0,37.756927,-122.440048,Eureka Valley - Dolores Heights - Castro,3.0,Condominium,1977.0,850678.0,"1,718,500",94114.0,15130294.0
5459,Address: 2025 Broderick Street #6, San FranciscoSales price: 680000Sales date: 01/21/2015Bedrooms: 1Square feet: 677Lot size: 4469,2025 Broderick St APT 6,1.0,1.0,677.0,01/21/2015,680000.0,37.789134,-122.442731,Pacific Heights,3.0,Condominium,1960.0,736724.0,"1,884,400",94115.0,15082104.0
5461,Address: 1831 18th Avenue, San FranciscoSales price: 883500Sales date: 01/21/2015Bedrooms: 3Square feet: 2247Lot size: 3000,1831 18th Ave,2.0,3.0,2247.0,01/21/2015,883500.0,37.75365,-122.475691,Inner Sunset,8.0,SingleFamily,1928.0,1215187.0,"1,348,400",94122.0,15112213.0
5462,Address: 1870 32nd Avenue, San FranciscoSales price: 1100000Sales date: 01/21/2015Bedrooms: 0Square feet: 1250Lot size: 2996,1870 32nd Ave,2.0,3.0,1250.0,01/21/2015,1100000.0,37.752332,-122.489978,Central Sunset,6.0,SingleFamily,1941.0,1104440.0,"1,111,300",94122.0,15112868.0
5463,Address: 2235 Beach Street #301, San FranciscoSales price: 1650000Sales date: 01/21/2015Bedrooms: 2Square feet: 1480Lot size: 4733,2235 Beach St APT 301,2.0,2.0,1480.0,01/21/2015,1650000.0,37.803132,-122.445852,Marina,6.0,SingleFamily,1929.0,1966833.0,"2,157,700",94123.0,15079759.0
5470,Address: 868 Minnesota Street #112, San FranciscoSales price: 825000Sales date: 01/20/2015Bedrooms: 1Square feet: 835Lot size: 85458,868 Minnesota St UNIT 112,1.0,1.0,835.0,01/20/2015,825000.0,37.759689,-122.390861,Central Waterfront - Dogpatch,3.0,Condominium,2009.0,911400.0,"1,124,600",94107.0,111711204.0
5471,Address: 1464 Kansas Street, San FranciscoSales price: 1210000Sales date: 01/20/2015Bedrooms: 2Square feet: 1433Lot size: 2250,1464 Kansas St,3.0,5.0,2533.0,01/20/2015,1210000.0,37.751065,-122.402525,Potrero Hill,8.0,MultiFamily2To4,1908.0,1586169.0,"1,264,000",94107.0,15152704.0
5472,Address: 637 Powell Street #502, San FranciscoSales price: 988000Sales date: 01/20/2015Bedrooms: 0Square feet: 1590Lot size: 3920,637 Powell St APT 502,1.0,2.0,1300.0,01/20/2015,988000.0,37.790627,-122.409234,Downtown,5.0,Condominium,1923.0,1284938.0,"795,400",94108.0,15068795.0
5473,Address: 1132 Green Street, San FranciscoSales price: 2400000Sales date: 01/20/2015Bedrooms: 4Square feet: 2836Lot size: 1650,1132-1134 Green St,2.0,4.0,2836.0,01/20/2015,2400000.0,37.798572,-122.417938,Russian Hill,11.0,MultiFamily2To4,1912.0,2753935.0,"1,608,800",94109.0,15066049.0
5475,Address: 3935 18th Street, San FranciscoSales price: 1600500Sales date: 01/20/2015Bedrooms: 0Square feet: 1480Lot size: 2848,3935 18th St,3.0,4.0,1480.0,01/20/2015,1600500.0,37.760859,-122.431443,Eureka Valley - Dolores Heights - Castro,14.0,SingleFamily,1906.0,2030963.0,"1,718,500",94114.0,15144518.0
5478,Address: 322 6th Street #6, San FranciscoSales price: 1200000Sales date: 01/16/2015Bedrooms: 2Square feet: 1842Lot size: 6025,322 6th St STE 6,3.0,2.0,1842.0,01/16/2015,1200000.0,37.777936,-122.405393,South of Market,7.0,SingleFamily,2001.0,1296477.0,"957,300",94103.0,64969362.0
5480,Address: 501 Beale Street #17F, San FranciscoSales price: 1500000Sales date: 01/16/2015Bedrooms: 2Square feet: 1128Lot size: 22594,501 Beale St UNIT 17F,2.0,2.0,1128.0,01/16/2015,1500000.0,37.786235,-122.389068,South Beach,4.0,Condominium,2006.0,1650807.0,"1,269,100",94105.0,79847040.0
5481,Address: 22 Littlefield Terrace, San FranciscoSales price: 650000Sales date: 01/16/2015Bedrooms: 2Square feet: 956Lot size: 764,22 Littlefield Ter,1.0,2.0,956.0,01/16/2015,650000.0,37.751899,-122.399216,Potrero Hill,5.0,Townhouse,1984.0,689157.0,"1,264,000",94107.0,15152826.0
5482,Address: 742 San Bruno Avenue, San FranciscoSales price: 975000Sales date: 01/16/2015Bedrooms: 0Square feet: 1280Lot size: 4748,742 San Bruno Ave,1.0,3.0,1280.0,01/16/2015,975000.0,37.760166,-122.405468,Potrero Hill,7.0,SingleFamily,1904.0,1633293.0,"1,264,000",94107.0,15150004.0
5483,Address: 725 Pine Street #308, San FranciscoSales price: 640000Sales date: 01/16/2015Bedrooms: 1Square feet: 538Lot size: 5000,725 Pine St APT 308,1.0,1.0,538.0,01/16/2015,640000.0,37.791015,-122.407699,Downtown,2.0,Condominium,1920.0,880401.0,"795,400",94108.0,82785256.0
5490,Address: 211 Precita Avenue, San FranciscoSales price: 1330000Sales date: 01/16/2015Bedrooms: 0Square feet: 2240Lot size: 2269,211-213 Precita Ave,1.0,1.0,1300.0,01/16/2015,1330000.0,37.747693,-122.415935,Bernal Heights,9.0,MultiFamily2To4,1911.0,977701.0,"1,214,400",94110.0,15159624.0
5492,Address: 261 Buena Vista Avenue #E, San FranciscoSales price: 1600000Sales date: 01/16/2015Bedrooms: 0Square feet: 1600Lot size: 3067,261 Buena Vista Ave E,2.0,3.0,1600.0,01/16/2015,1600000.0,37.768045,-122.43904,Buena Vista Park,7.0,Condominium,1909.0,1643865.0,"1,470,700",94117.0,15126891.0
5493,Address: 2001 McAllister Street #231, San FranciscoSales price: 695000Sales date: 01/16/2015Bedrooms: 1Square feet: 683Lot size: 98109,2001 Mcallister St APT 231,1.0,1.0,683.0,01/16/2015,695000.0,37.776382,-122.445739,North Panhandle,3.0,Condominium,2002.0,748192.0,"1,211,900",94118.0,80735069.0
5494,Address: 624 Cabrillo Street, San FranciscoSales price: 1400000Sales date: 01/16/2015Bedrooms: 3Square feet: 1766Lot size: 2380,624 Cabrillo St,2.25,3.0,1702.0,01/16/2015,1400000.0,37.775539,-122.465454,Inner Richmond,6.0,Condominium,1915.0,1492955.0,"1,679,000",94118.0,82785699.0
5495,Address: 1438 28th Avenue, San FranciscoSales price: 790000Sales date: 01/16/2015Bedrooms: 2Square feet: 1390Lot size: 3000,1438 28th Ave,1.0,2.0,1390.0,01/16/2015,790000.0,37.76053,-122.486259,Central Sunset,5.0,SingleFamily,1930.0,848115.0,"1,111,300",94122.0,67447668.0
5497,Address: 1660 Shafter Avenue, San FranciscoSales price: 350000Sales date: 01/16/2015Bedrooms: 0Square feet: 510Lot size: 2495,1660 Shafter Ave,1.0,1.0,510.0,01/16/2015,350000.0,37.731668,-122.391304,Bayview,4.0,SingleFamily,1910.0,620822.0,"719,000",94124.0,15157248.0
5498,Address: 994 Le Conte Avenue, San FranciscoSales price: 580000Sales date: 01/16/2015Bedrooms: 0Square feet: 942Lot size: 2495,994 Le Conte Ave,3.0,4.0,1482.0,01/16/2015,580000.0,37.718268,-122.396214,Bayview,7.0,SingleFamily,1940.0,682581.0,"719,000",94124.0,15155095.0
5499,Address: 58 Idora Avenue, San FranciscoSales price: 1079000Sales date: 01/16/2015Bedrooms: 0Square feet: 1098Lot size: 3101,58 Idora Ave,1.0,2.0,1098.0,01/16/2015,1079000.0,37.745032,-122.455714,Forest Hill Extension,6.0,SingleFamily,1928.0,1295371.0,"1,657,500",94127.0,15133437.0
5500,Address: 62 Glenview Drive, San FranciscoSales price: 880000Sales date: 01/16/2015Bedrooms: 0Square feet: 1078Lot size: 3284,62 Glenview Dr,1.0,3.0,1078.0,01/16/2015,880000.0,37.747688,-122.447502,Midtown Terrace,6.0,SingleFamily,1951.0,1023449.0,"1,108,400",94131.0,15133022.0
5502,Address: 275 Arch Street, San FranciscoSales price: 844000Sales date: 01/16/2015Bedrooms: 3Square feet: 1447Lot size: 2495,275 Arch St,2.0,3.0,1447.0,02/03/2016,422000.0,37.715651,-122.467388,Ingleside Heights,6.0,SingleFamily,1940.0,798222.0,"688,100",94132.0,15193546.0
5503,Address: 601 Van Ness Avenue #446, San FranciscoSales price: 590000Sales date: 01/15/2015Bedrooms: 1Square feet: 730Lot size: 105806,601 Van Ness Ave APT 446,1.0,1.0,730.0,01/15/2015,590000.0,37.781386,-122.421406,Van Ness - Civic Center,3.0,Condominium,1982.0,615112.0,"839,200",94102.0,15077970.0
5507,Address: 260 King Street #721, San FranciscoSales price: 616000Sales date: 01/15/2015Bedrooms: 1Square feet: 695Lot size: 213232,260 King St UNIT 721,1.0,1.0,695.0,01/15/2015,616000.0,37.777641,-122.393417,South of Market,3.0,Condominium,2004.0,720595.0,"957,300",94107.0,69819768.0
5508,Address: 2595 38th Avenue, San FranciscoSales price: 905000Sales date: 01/15/2015Bedrooms: 0Square feet: 1960Lot size: 1437,2595 38th Ave,3.0,3.0,2414.0,01/19/2016,1240000.0,37.7386,-122.496,Outer Parkside,8.0,SingleFamily,1943.0,1433987.0,"982,900",94116.0,2106229715.0
5512,Address: 1722 19th Avenue, San FranciscoSales price: 688000Sales date: 01/15/2015Bedrooms: 2Square feet: 750Lot size: 2250,1722 19th Ave,2.0,2.0,750.0,01/15/2015,688000.0,37.755638,-122.476193,Inner Sunset,4.0,SingleFamily,1900.0,888147.0,"1,348,400",94122.0,15111331.0
5513,Address: 1243 16th Avenue, San FranciscoSales price: 805000Sales date: 01/15/2015Bedrooms: 0Square feet: 1259Lot size: 3010,1243 16th Ave,1.0,2.0,1259.0,01/15/2015,805000.0,37.764726,-122.474315,Inner Sunset,5.0,Condominium,1925.0,1077330.0,"1,348,400",94122.0,61288376.0
5514,Address: 2445 Franklin Street, San FranciscoSales price: 2525000Sales date: 01/15/2015Bedrooms: 0Square feet: 3800Lot size: 3306,2445-2447 Franklin St,2.0,2.0,3800.0,01/15/2015,2525000.0,37.797073,-122.425681,Pacific Heights,10.0,SingleFamily,1921.0,3943318.0,"1,884,400",94123.0,15072186.0
5516,Address: 135 Red Rock Way #302L, San FranciscoSales price: 610000Sales date: 01/15/2015Bedrooms: 1Square feet: 830Lot size: 6959,135 Red Rock Way APT 302L,1.0,1.0,830.0,01/15/2015,610000.0,37.746221,-122.441968,Diamond Heights,3.0,Condominium,1972.0,646639.0,"1,070,100",94131.0,15199262.0
5517,Address: 47 Byxbee Street, San FranciscoSales price: 775000Sales date: 01/15/2015Bedrooms: 0Square feet: 800Lot size: 2495,47 Byxbee St,1.0,2.0,800.0,01/15/2015,775000.0,37.715226,-122.470084,Ingleside Heights,6.0,SingleFamily,1939.0,595486.0,"688,100",94132.0,15193449.0
5519,Address: 347 Sweeny Street, San FranciscoSales price: 725000Sales date: 01/15/2015Bedrooms: 3Square feet: 1248Lot size: 2365,347 Sweeny St,1.0,3.0,1248.0,01/15/2015,725000.0,37.731554,-122.411905,Portola,5.0,SingleFamily,1940.0,767571.0,"891,600",94134.0,15165668.0
5526,Address: 1434 Plymouth Avenue, San FranciscoSales price: 1358000Sales date: 01/14/2015Bedrooms: 2Square feet: 1165Lot size: 3663,1434 Plymouth Ave,2.0,3.0,1700.0,01/14/2015,1358000.0,37.728251,-122.45622,Westwood Park,7.0,SingleFamily,1922.0,1357528.0,"1,191,600",94112.0,15140545.0
